17/11/2021 13:41:23,Tensao: 20.35V, Corrente (S1): 0.28A, Corrente (S2): 0.00A, Potencia: 5.60W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:29,Tensao: 7.78V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:34,Tensao: 4.59V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:39,Tensao: 25.93V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:45,Tensao: 2.94V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:51,Tensao: 5.01V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:41:56,Tensao: 2.27V, Corrente (S1): 0.23A, Corrente (S2): 0.00A, Potencia: 0.52W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:02,Tensao: 4.29V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:07,Tensao: 4.61V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:13,Tensao: 3.23V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:18,Tensao: 3.17V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:24,Tensao: 4.68V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:29,Tensao: 5.37V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:35,Tensao: 4.93V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:41,Tensao: 3.39V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:46,Tensao: 9.65V, Corrente (S1): 0.21A, Corrente (S2): 0.00A, Potencia: 2.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:52,Tensao: 4.57V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:42:57,Tensao: 12.62V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:03,Tensao: 3.01V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:08,Tensao: 115.47V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:14,Tensao: 117.28V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
17/11/2021 13:43:20,Tensao: 116.91V, Corrente (S1): 0.00A, Corrente (S2): 0.00A, Potencia: 0.00W, Consumo (acumulado): 0.03kWh
